Num_Features,R2,RMSE
10,0.5242142063577789,299.9696868637927
20,0.5376157391975738,295.7148647607475
30,0.5524449009283751,290.9342754918847
40,0.5825266503354556,280.98686108241407
50,0.5666062362733633,286.29447268014445
60,0.5703714171727907,285.04814426610665
70,0.5610895736346232,288.1108298600741
80,0.5596068580401619,288.5970637535535
90,0.5582876404057362,289.02899332736683
115,0.5627378338305968,287.5693431926997
165,0.5628615624210473,287.52865471152603
215,0.5678683015238927,285.8773165432721
265,0.5616940258355808,287.9123733936151
315,0.561047426251153,288.12466278063704
365,0.5634020254252821,287.35085444362517
415,0.5630260660113495,287.4745483430247
465,0.5582547087379244,289.0397673403525
