Num_Features,Score_R2
50,0.5274668521495116
70,0.5279453907400206
90,0.5336793641161169
110,0.5395864900601849
130,0.5495735446303939
150,0.551353509509591
170,0.554939723490174
190,0.5532532624804364
210,0.5564064849208011
230,0.5524106979229392
250,0.5518455428083874
270,0.5521769521961882
290,0.5553750533361583
310,0.551958735819405
330,0.553589730360631
350,0.5517532799220001
370,0.5523292393880291
390,0.5545381159035084
410,0.5551033172568909
430,0.5544594913865123
450,0.5525618112122722
470,0.5532029601718724
490,0.5501055348371343
510,0.5540388854184728
530,0.5553586249401217
550,0.5525957953730221
570,0.552789195356222
590,0.5536088772879478
610,0.554156759072045
630,0.5541880047596169
650,0.5534701630842748
670,0.5525722171874189
690,0.5525722171874189
710,0.5527945926931354
730,0.5538147717097591
750,0.5538147717097591
770,0.5538147717097591
790,0.5538147717097591
810,0.5538147717097591
830,0.5538147717097591
850,0.5538147717097591
870,0.5538147717097591
890,0.5538147717097591
910,0.5538147717097591
930,0.5538147717097591
950,0.5538147717097591
