Num_Features,R2,RMSE
10,0.5691212822564606,276.3866939221016
20,0.575903843757777,274.20273184765637
30,0.5772098391497922,273.78020546951205
40,0.5540964256379244,281.16424133675986
50,0.5746030534367453,274.62292803431933
60,0.5721580790685025,275.41099668631045
70,0.5890349214968555,269.9243529190484
80,0.5891833492536223,269.87560439217793
90,0.5968246338745177,267.3539492135179
130,0.5958717338350725,267.66970664353136
180,0.5978405616882548,267.0168953467097
230,0.6025670856293773,265.44315146626144
280,0.5980592254166714,266.944293732682
330,0.5956532595849475,267.74204882044876
380,0.5970329564494584,267.2848687782561
430,0.6004302777502963,266.1557757194372
480,0.6019694245899916,265.6426636683607
