Num_Features,Score_R2
50,0.49584579723789207
70,0.49880915495421146
90,0.5077152071354489
110,0.530186513292769
130,0.5360936658826213
150,0.5342636497646351
170,0.5323497368055369
190,0.5340101598607695
210,0.5322621983035419
230,0.5308284776993727
250,0.5307179093765545
270,0.5302714271592515
290,0.5326378866720837
310,0.5287923631389416
330,0.5306364782971796
350,0.529498849302053
370,0.5307188996086017
390,0.5312782855595934
410,0.5321046136681781
430,0.5322939922852421
450,0.5327599135341113
470,0.529906311894334
490,0.5312908031844468
510,0.5274763051142485
530,0.5277445686140384
550,0.52907046953195
570,0.5302484624418197
590,0.5315383906319401
610,0.5290634314941323
630,0.5313628459253077
650,0.5306350367748204
670,0.529384907670832
690,0.5293119199518654
710,0.5287736321875283
730,0.5315690785159884
750,0.5320958176153624
770,0.5320958176153624
790,0.5320958176153624
810,0.5320958176153624
830,0.5320958176153624
850,0.5320958176153624
870,0.5320958176153624
890,0.5320958176153624
910,0.5320958176153624
930,0.5320958176153624
950,0.5320958176153624
