Num_Features,R2,RMSE
10,0.5401368089254581,249.58273106006394
20,0.5630477253176516,243.28605189484392
30,0.5778813836733396,239.12085852347468
40,0.593318290796596,234.7078031129151
50,0.594712317420111,234.30519121074875
60,0.5777052145221406,239.1707512819635
70,0.5881163402260179,236.2041315879856
80,0.5985381283035673,233.1966787927855
90,0.6071044332449259,230.6953137803512
133,0.6015537149105656,232.31919778531739
183,0.6153530861434403,228.26079972379122
233,0.6030874268527145,231.87164151048916
283,0.6006264711228326,232.58936136822496
333,0.6084455361346977,230.3012515370374
383,0.6083568893183811,230.32731983564713
433,0.6115634561119738,229.38248272457625
483,0.6104978546329916,229.69690075406226
